<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close
2015-04-21,1269.319946,1270.079956,1263.589966,1264.150024,1264.150024
2015-04-22,1265.01001,1266.560059,1255.040039,1265.47998,1265.47998
2015-04-23,1263.660034,1273.25,1262.410034,1271.540039,1271.540039
2015-04-24,1272.800049,1273.079956,1266.219971,1267.540039,1267.540039
2015-04-27,1269.869995,1275.839966,1250.449951,1252.699951,1252.699951
2015-04-28,1252.890015,1260.689941,1242.569946,1259.359985,1259.359985
2015-04-29,1254.5,1255.810059,1245.469971,1246.949951,1246.949951
2015-04-30,1241.400024,1242.77002,1216.099976,1220.130005,1220.130005
2015-05-01,1223.050049,1229.469971,1218.589966,1228.109985,1228.109985
2015-05-04,1230.300049,1240.630005,1230.099976,1233.219971,1233.219971
2015-05-05,1231.77002,1234.040039,1211.780029,1215.420044,1215.420044
2015-05-06,1221.530029,1222.900024,1211.130005,1219.359985,1219.359985
2015-05-07,1218.949951,1228.819946,1215.430054,1225.540039,1225.540039
2015-05-08,1234.819946,1239.380005,1232.589966,1234.930054,1234.930054
2015-05-11,1234.589966,1243.560059,1234.51001,1235.829956,1235.829956
2015-05-12,1230.569946,1236.140015,1218.369995,1233.130005,1233.130005
2015-05-13,1235.73999,1237.880005,1228.48999,1232.280029,1232.280029
2015-05-14,1236.810059,1245.119995,1232.530029,1245.109985,1245.109985
2015-05-15,1245.420044,1245.900024,1238.98999,1243.949951,1243.949951
2015-05-18,1242.079956,1258.0,1240.839966,1257.52002,1257.52002
2015-05-19,1257.859985,1258.579956,1251.819946,1255.660034,1255.660034
2015-05-20,1257.329956,1260.829956,1252.359985,1257.73999,1257.73999
2015-05-21,1257.5,1261.02002,1252.98999,1256.73999,1256.73999
2015-05-22,1255.48999,1258.72998,1248.369995,1252.219971,1252.219971
2015-05-26,1248.109985,1248.109985,1233.719971,1238.76001,1238.76001
2015-05-27,1241.01001,1255.050049,1237.609985,1254.359985,1254.359985
2015-05-28,1251.780029,1253.199951,1246.069946,1253.099976,1253.099976
2015-05-29,1251.579956,1252.640015,1241.150024,1246.530029,1246.530029
2015-06-01,1252.02002,1254.560059,1238.650024,1249.619995,1249.619995
2015-06-02,1245.589966,1258.459961,1243.300049,1251.800049,1251.800049
2015-06-03,1254.97998,1264.939941,1252.790039,1264.579956,1264.579956
2015-06-04,1258.540039,1261.209961,1248.430054,1251.290039,1251.290039
2015-06-05,1250.400024,1261.069946,1242.73999,1261.01001,1261.01001
